#
#  ypes214092cyc 21.5 Reactions link table generated on Wed Oct 25, 2017
#
RXN0-5021	EC-2.7.7
3.4.21.53-RXN	EC-3.4.21.53
FUC4NACTRANS-RXN	EC-2.4.1.325
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27
ASPARTATE-RACEMASE-RXN	EC-5.1.1.13
F16BDEPHOS-RXN	EC-3.1.3.11
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
RXN0-6478	EC-3.1.26.12
3.1.3.16-RXN	EC-3.1.3.16
URITRANS-RXN	EC-2.7.7.59
RXN-15510	
RXN-8348	EC-2.10.1.1
RXN-8315	
RXN0-7023	EC-3.1.13
RXN-9789	EC-2.7.7.73
RXN66-484	EC-6.2.1.3
HISTOLDEHYD-RXN	
RXN0-745	EC-1.17.4.2
RXN66-1	EC-1.11.1.6
RXN-8505	EC-1.14.14.9
RXN-14776	EC-1.3.1.34
RXN-15131	EC-4.4.1.8
L-IDITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.14
3.6.3.44-RXN	EC-3.6.3.44
RXN-11135	EC-3.6.4.12
3.1.13.3-RXN	EC-3.1.13.3
ACYLCOASYN-RXN	EC-6.2.1.3
RXN0-2181	
RXN-14904	
RXN-2141	EC-3.2.1.20
1PFRUCTPHOSN-RXN	EC-2.7.1.56
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
3.4.24.70-RXN	EC-3.4.24.70
3.6.3.16-RXN	EC-3.6.3.16
TAGAALDOL-RXN	EC-4.1.2.40
RXN-14349	EC-3.2.1.20
RXNMETA-12672	EC-1.17.1.7
ATPSYN-RXN	EC-3.6.3.14
RXN-15121	
RXN-8635	EC-1.11.1.7
RXN0-722	EC-1.17.4.1
RXN-13600	EC-3.2.1.21
HEMN-RXN	EC-1.3.99.22
RXN0-5306	EC-5.1.3
RXN0-901	EC-1.17.1.4
RXN-15083	EC-2.7.1.69
PSERPHOSPHA-RXN	EC-3.1.3.3
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
PYRIMSYN1-RXN	EC-4.1.99.17
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN-8174	
D-PPENTOMUT-RXN	EC-5.4.2.7
2.1.1.19-RXN	EC-2.1.1.19
RXN-9662	EC-1.3.1.9
PEPSYNTH-RXN	EC-2.7.9.2
RXN0-7002	EC-3.2.1.86
RXN-15169	EC-2.7.1.69
RXN0-5391	EC-5.3.3
OROTPDECARB-RXN	EC-4.1.1.23
PECTINESTERASE-RXN	EC-3.1.1.11
RXN-15288	EC-1.11.1.7
RXN-15334	EC-2.7.1.69
CARBODEHYDRAT-RXN	EC-4.2.1.1
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
RXN0-6377	EC-1.7.1.4
RXN1G-508	EC-1.1.1.100
2.6.1.57-RXN	EC-2.6.1.57
CYTIDINEKIN-RXN	EC-2.7.1.48
RXN-14384	EC-2.8.1.7
RXN0-2382	EC-4.2.1.122
RXN-9536	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
INOSINEKIN-RXN	EC-2.7.1.73
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
2.8.1.6-RXN	EC-2.8.1.6
MEPROPCOA-FAD-RXN	EC-1.3.8
RXN-1685	EC-2.7.1.2
RXN-12398	EC-3.2.1.23
DCYSDESULF-RXN	EC-4.4.1.15
RXN-14954	EC-2.8.3
3.2.1.1-RXN	EC-3.2.1.1
RXN-15511	
RXN-11574	EC-2.1.1.173
RXN-8037	
RXN0-280	EC-1.14.14.5
RXN-15084	EC-2.7.1.69
RXN-12621	
PMPOXI-RXN	EC-1.4.3.5
SULFFEOXIDO-RXN	
PABASYN-RXN	EC-2.6.1.85
ADENPHOSPHOR-RXN	EC-2.4.2.1
AIRCARBOXY-RXN	EC-4.1.1.21
SULFITE-REDUCTASE-FERREDOXIN-RXN	EC-1.8.7.1
DEOXYGLUCONOKIN-RXN	EC-2.7.1.178	EC-2.7.1.45
RXN66-469	EC-6.2.1.3
RXN-14728	EC-3.5.1.4
IMP-DEHYDROG-RXN	EC-1.1.1.205
RXN0-5468	EC-1.11.1.15
RXN1G-1247	EC-1.1.1.100
RXN-8992	EC-2.5.1.90
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98
RXN-10819	EC-6.2.1.30
RETINYL-PALMITATE-ESTERASE-RXN	EC-3.1.1.1
MALYL-COA-LYASE-RXN	EC-4.1.3.24
RXN-15881	EC-2.8.1.7
RXN-11622	EC-3.2.1.52
3.2.1.21-RXN	EC-3.2.1.21
GLUCISOM-RXN	EC-5.3.1.5
RXN-11301	EC-2.4.1
RXN-10023	EC-2.3.1.184
RXN0-1861	EC-1.1.1.305
RXN0-2522	EC-2.7.1.69
5.3.1.17-RXN	EC-5.3.1.17
AMACETOXID-RXN	EC-1.4.3.21
RXN0-1141	EC-2.7.7.63
GLUTKIN-RXN	EC-2.7.2.11
RXN-8629	EC-1.8.1.4
OHMETPYRKIN-RXN	EC-2.7.1.49
RXN0-2605	EC-3.1.11.5
THYM-PHOSPH-RXN	EC-2.4.2.2	EC-2.4.2.4
RXN-1961	EC-6.3.4.19
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
THREONINE-ALDOLASE-RXN	EC-4.1.2.48	EC-4.1.2.5
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	EC-4.2.1
NACGLCTRANS-RXN	EC-2.4.1.227
KDOTRANS2-RXN	EC-2.4.99.13
RXN-10060	EC-1.1.1.100
GLYCERONE-KINASE-RXN	EC-2.7.1.29
RXN-14970	EC-1.3.5.4
RXN0-2441	EC-2.1.1.144
RXN0-5289	EC-1.1.1
RXN0-6523	EC-3.1.26.12
RXN-7699	EC-4.2.1.119
RXN-15150	EC-2.7.1.69
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
PHOSGLYPHOS-RXN	EC-2.7.2.3
ARGININE-N-SUCCINYLTRANSFERASE-RXN	EC-2.3.1.109
RXN-15173	EC-2.7.1.69
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
RXN-14120	EC-2.7.4.6
RXN-13267	EC-6.2.1.20
UDPGLCNACEPIM-RXN	EC-5.1.3.14
RXN-12610	EC-2.5.1.3
RXN-15045	EC-2.3.1.15
RXN1G-138	EC-2.3.1.41
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	EC-3.1.2.4
RHAMNULPALDOL-RXN	EC-4.1.2.19
RXN-14116	EC-1.2.1.88
DEOXYINOPHOSPHOR-RXN	EC-2.4.2.1
3.4.24.11-RXN	EC-3.4.24.11
RXN-7593	
RXN-15512	
3.1.26.12-RXN	EC-3.1.26.12
ANTHRANSYN-RXN	EC-4.1.3.27
SAMDECARB-RXN	EC-4.1.1.50
ASPCARBTRANS-RXN	EC-2.1.3.2
RXN-12565	EC-2.3.1.16
2.1.1.64-RXN	EC-2.1.1.64
RXN-9788	
SULFUR-DIOXYGENASE-RXN	
RXN-15005	EC-2.7.2.8
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RXN-5061	EC-1.5.7.1
PYRUVFORMLY-RXN	EC-2.3.1.54
GLYOHMETRANS-RXN	EC-2.1.2.1
3.4.11.1-RXN	EC-3.4.11.1
RXN0-5181	EC-3.2.1.1
RXN-14064	EC-3.1.4.16
RXN-7931	EC-5.3.3.8
GLUTATHIONE-SYN-RXN	EC-6.3.2.3
RXN-15123	EC-3.5.99
BETA-GLUCURONID-RXN	EC-3.2.1.31
4.3.1.17-RXN	EC-4.3.1.17
PHOSPHOGLUCMUT-RXN	EC-5.4.2.5	EC-5.4.2.2
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
RXN-6282	EC-3.5.4.9
RXN-12570	EC-1.1.1.35
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-14481	EC-2.1.1
RXN0-884	EC-1.17.1.2
RXN-7587	
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
RXN-15740	EC-1.1.5.3
ACETYLORNDEACET-RXN	EC-3.5.1.16
THIAZOLSYN3-RXN	EC-2.7.1.50
DCDPKIN-RXN	EC-2.7.4.6
HEMEOSYN-RXN	EC-2.5.1
RXN-13673	EC-2.5.1.18
RXN-12978	EC-6.2.1.3
RXN0-6382	EC-3.6.1.19
ABC-2-RXN	EC-3.6.3.17
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	EC-2.1.2.9
RXN-5424	EC-1.1.1.1
RXN66-483	EC-6.2.1.3
1.1.1.264-RXN	EC-1.1.1.264
GSADENYLATION-RXN	EC-2.7.7.42
RXN-1826	EC-2.4.1.1
RXN-14026	EC-3.1.3.91
RXN-15313	EC-4.1.3.3
3.1.4.2-RXN	EC-3.1.4.2
GLYCOGENSYN-RXN	EC-2.4.1.21
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
THI-P-KIN-RXN	EC-2.7.4.16
RXN-5781	EC-2.7.8.2
RXN-13430	EC-3.1.2.2
RXN-14350	EC-3.2.1.20
THREOSPON-RXN	
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
RXN-14118	EC-3.5.4.13
O-SUCCHOMOSERLYASE-RXN	EC-2.5.1.48
RXN-14982	EC-2.7.1.69
RXN1G-252	EC-1.1.1.100
4.2.1.61-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
3.1.26.4-RXN	EC-3.1.26.4
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.31
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.39
3.1.21.7-RXN	EC-3.1.21.7
RXN0-1147	EC-2.3.1.61
HISTAMINOTRANS-RXN	EC-2.6.1.9
RXN-6268	
CITTRANS-RXN	EC-2.8.3.10
RXN0-2141	
ACYLCOADEHYDROG-RXN	EC-1.3.8
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
RXN-11319	EC-4.1.99.19
OCTADECANAL-DECARBONYLASE-RXN	EC-4.1.99.5
RXN-9951	
RXN-161	EC-1.1.1
DURIDKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-14286	EC-2.4.1.1
RXN0-6525	EC-3.1.13.1
RXN-10702	EC-1.1.1.35
RXN-11922	EC-1.8.99.1
RXN0-5224	EC-4.2.1.1
FLAVONADPREDUCT-RXN	EC-1.18.1.2
2.7.11.13-RXN	EC-2.7.11.13
CARBOXYLESTERASE-RXN	EC-3.1.1.1
DHLBXANAU-RXN	EC-3.8.1.3
TRANS-RXN0-237	
2.7.13.3-RXN	EC-2.7.13.3
RXN0-5409	
METHYLACYLYLCOA-HYDROXY-RXN	EC-4.2.1.17
RXN1G-445	EC-2.3.1.41
RXN-9648	EC-2.3.1.86
RXN-5721	
RXN-6081	
PHOSCHOL-RXN	EC-3.1.4.4
RIBULPEPIM-RXN	EC-5.1.3.4
RXN-15544	
RXN-12391	EC-2.4.1.25
RXN-11333	EC-1.1.2.8
RXN66-474	EC-6.2.1
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
DUDPKIN-RXN	EC-2.7.4.6
RXN-5841	EC-3.1.3.5
ABC-5-RXN	EC-3.6.3.33
RXN-7002	
RXN-13443	EC-1.1.1.100
RXN0-5103	EC-3.4.21
RXN-9023	EC-2.4.1.25
RXN0-5262	
RXN-13614	EC-6.2.1.3
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
RXN-15154	EC-2.7.1.69
RXN-13268	EC-6.2.1.20
RXN-9633	EC-2.3.1.86	EC-1.1.1.100
1.2.1.25-RXN	EC-1.2.1.25
NADPH-DEHYDROGENASE-FLAVIN-RXN	EC-1.5.1.30
CDPDIGLYSYN-RXN	EC-2.7.7.41
ARYLSULFAT-RXN	EC-3.1.6.1
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
PHOSICITDEHASE-RXN	EC-2.7.11.5
RXN-15210	
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
CTPSYN-RXN	EC-6.3.4.2
RXN-4821	EC-3.5.99
RXN-12459	EC-2.1.1.221
BISPHOSPHOGLYCERATE-MUTASE-RXN	EC-5.4.2.4
H2PTEROATESYNTH-RXN	EC-2.5.1.15
RXN-14249	EC-1.1.1.103
S-ADENMETSYN-RXN	EC-2.5.1.6
RXN-14715	EC-1.3.1.34
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	EC-5.4.99.12
OHACYL-COA-DEHYDROG-RXN	EC-1.1.1.35
RXN0-3962	EC-1.2.1.4
RXN-12171	EC-2.4.1.1
RXN-14772	EC-4.2.1.119
RXN-13548	EC-3.5.99
3.2.1.52-RXN	EC-3.2.1.52
RXN-14693	
RXN-15125	
IMIDAZOLONEPROPIONASE-RXN	EC-3.5.2.7
RXN-1381	EC-2.3.1.15
RXN0-6481	EC-2.7.7.56
RXN-9653	EC-2.3.1.86
RXN-13616	EC-4.2.1.17
ENOYL-ACP-REDUCT-NADPH-RXN	EC-1.3.1.39	EC-1.3.1.104	EC-2.3.1.86	EC-2.3.1.85	EC-1.3.1.10
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
RXN0-4361	EC-3.1.3.82
RXN-8889	EC-2.8.3
2.7.7.1-RXN	EC-2.7.7.1
RXN-8036	EC-3.2.1.21
RXN-3482	
RXN-14786	EC-4.2.1.119
PYFLAVOXRE-RXN	EC-1.2.99
RXN-14451	
LUMAZINESYN-RXN	EC-2.5.1.78
RXN66-476	EC-1.2.1.3
RXN-15341	EC-1.14.14.5
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8
3.4.23.48-RXN	EC-3.4.23.48
RXN-9663	EC-1.3.1.9
RXN1G-469	EC-1.1.1.100
CHORPYRLY-RXN	EC-4.1.3.40
GABATRANSAM-RXN	EC-2.6.1.19
RXN-7614	EC-6.2.1.26
RXN-8668	EC-1.8.4.11
RXN-13313	EC-3.1.3.27
RXN-14353	EC-2.4.1.1
RXN-15003	EC-6.3.2
DIHYDROOROT-RXN	EC-3.5.2.3
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
RXN-6642	EC-3.4.11.2
DCTP-DEAM-RXN	EC-3.5.4.13
RXN-10661	EC-1.3.1.9
3.1.2.21-RXN	EC-3.1.2.21
ADENOSINETRIPHOSPHATASE-RXN	EC-3.6.1.15
RXN-9532	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
RXN-11484	EC-2.3.1.47
2.6.1.22-RXN	EC-2.6.1.22
RXN1G-840	EC-2.3.1.41
KETOLACTOSE-RXN	EC-3.2.1.23
NANK-RXN	EC-2.7.1.60
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
GLUTRACE-RXN	EC-5.1.1.3
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	EC-1.14
RXN-2961	EC-4.4.1.22
ALDHDEHYDROG-RXN	EC-1.2.1.3
RXN0-5183	EC-3.2.1.20
1.1.1.127-RXN	EC-1.1.1.127
RXN-15182	EC-2.7.1.69
GLYOXI-RXN	EC-4.4.1.5
RXN-14381	
THYMIDYLATESYN-RXN	EC-2.1.1.45
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
RXN0-7020	EC-1.1.1.346
RXN3O-4113	EC-1.1.1.1
UROGENIIISYN-RXN	EC-4.2.1.75
GLCNACPTRANS-RXN	EC-2.7.8.33
RXN-14972	
RXN-9623	EC-6.2.1.3
RXN-10698	EC-1.1.1.35
RXN-14284	EC-2.4.1.1
GLUTRNAREDUCT-RXN	EC-1.2.1.70
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	EC-2.3.3.10
RXN-7669	EC-2.4.1.18
3.1.1.64-RXN	EC-3.1.1.1
RXN-13617	EC-2.3.1.16
RXN0-4341	EC-2.7.1.167
4.2.2.9-RXN	EC-4.2.2.9
RXN0-4621	EC-2.7.1.170
3.1.4.17-RXN	EC-3.1.4.17
RXN1G-182	EC-1.1.1.100
RXN0-5205	EC-3.6.3.5
ISPH2-RXN	EC-1.17.1.2
RXN-8654	EC-2.7.7.63
RXN-15348	
6.3.2.10-RXN	EC-6.3.2.10
RXN-7719	EC-1.8.1.4
RXN0-6948	EC-2.3.1.1
RXN66-479	EC-1.2.1.3
R601-RXN	EC-1.3.5.4
3.4.21.88-RXN	EC-3.4.21.88
RXNQT-4142	EC-3.1.3.93
RIB5PISOM-RXN	EC-5.3.1.6
RXN-12490	EC-1.1.1.35
RXN-7706	EC-1.1.1.1
RXN0-6479	EC-3.1.13.1
RXN0-5184	EC-2.4.1.1
3.6.1.19-RXN	EC-3.6.1.19
RXN-902	
SULFITE-REDUCTASE-RXN	EC-1.8.99.1
RXN-14973	
RXN-13603	EC-3.2.1.21
1.18.1.2-RXN	EC-1.18.1.2
GUANYL-KIN-RXN	EC-2.7.4.8
ABC-19-RXN	EC-3.6.3.29
RXN-14266	EC-4.2.1.17
NITRATREDUCT-RXN	EC-1.7.99.4
3.4.21.89-RXN	EC-3.4.21.89
RXN-11213	EC-1.2.1.27
RXN0-6515	EC-2.1.1.171
RXN-14160	EC-3.1.4.46	EC-3.1.4.2
RXN-15345	
DXPREDISOM-RXN	EC-1.1.1.267
RXN1G-26	EC-2.3.1.41
RXN-9539	EC-2.3.1.41
2.7.1.148-RXN	EC-2.7.1.148
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
RXN-15035	EC-3.1.1.5
RNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.49
RXN-11797	EC-2.4.1
GLUCOKIN-RXN	EC-2.7.1.2
RXN-14712	EC-2.4.1.129
ACETYLGLUTKIN-RXN	EC-2.7.2.8
SULFOCYS-RXN	EC-2.5.1.47
CATAL-RXN	EC-1.11.1.21	EC-1.11.1.6
RXN0-2161	EC-6.1.1.11
3.4.13.9-RXN	EC-3.4.13.9
PHOSPHOLIPASE-A2-RXN	EC-3.1.1.4
BISPHOSPHOGLYCERATE-PHOSPHATASE-RXN	EC-3.1.3.13
CYCPHOSDIESTER-RXN	EC-3.1.4.16
RXN-14387	
RXN0-1461	EC-1.3.3.3
NADH-DEHYDROGENASE-RXN	EC-1.6.99.3
RXN-15124	
3.1.11.2-RXN	EC-3.1.11.2
CPM-KDOSYNTH-RXN	EC-2.7.7.38
AICARTRANSFORM-RXN	EC-2.1.2.3
RXN-15044	EC-2.3.1.42
XYLULOKIN-RXN	EC-2.7.1.17
RXN-10658	EC-2.3.1.41
RXN-15139	
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
3.1.11.1-RXN	EC-3.1.11.1
RXN-14371	EC-2.4.1.18
2.7.1.69-RXN	EC-2.7.1.69
HISTPRATPHYD-RXN	EC-3.6.1.31
RXN66-472	EC-1.2.1.3
RXN-10660	EC-4.2.1.59
GST-RXN	EC-2.5.1.18
RXN1G-881	EC-1.1.1.100
3.6.3.33-RXN	EC-3.6.3.33
PEROXID-RXN	EC-1.11.1.7
3.1.21.1-RXN	EC-3.1.21.1
RXN-14126	EC-3.1.3.6
O-SUCCINYLBENZOATE-COA-LIG-RXN	EC-6.2.1.26
RXN-14025	EC-3.1.3.5
RXN0-1441	EC-3.6.1.53
GCVP-RXN	EC-1.4.4.2
RXN-13435	EC-3.1.2.2
RXN-13677	EC-3.4.11.2
RXN66-555	EC-6.3.2.5
THIAZOLSYN2-RXN	EC-2.8.1.10
RXN-10020	EC-2.3.1.184
ACYLACPSYNTH-RXN	EC-6.2.1.20
RXN-9549	EC-3.1.2.14
RXN-9237	EC-2.1.1.64
RXN-11244	EC-4.2.1.17
BTUR2-RXN	EC-2.5.1.17
1.2.4.4-RXN	EC-1.2.4.4
RXN-15159	EC-2.7.1.69
UROGENDECARBOX-RXN	EC-4.1.1.37
RXN-15172	EC-2.7.1.69
RXN-14997	
PHOSPHOLIPASE-C-RXN	EC-3.1.4.3
RXN-13163	EC-4.2.1.33
RXN-13805	EC-2.3.1.15
RXN-15168	EC-2.7.1.69
RXN-14047	EC-4.2.1.3
FUMARYLACETOACETASE-RXN	EC-3.7.1.2
RXN-15185	EC-2.7.1.69
RXN1G-408	EC-1.1.1.100
RXN0-5259	
DNA-LIGASE-ATP-RXN	EC-6.5.1.1
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
2.1.1.34-RXN	EC-2.1.1.34
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
RXN-7838	EC-4.2.1.17
RXN0-5295	EC-3.2.1.86
RXN-14129	EC-3.5.4.1
RXN0-4342	EC-2.7.7.70
RXN-15144	EC-2.7.1.69
RXN-9739	
RXN-9868	EC-3.1.1.45
DGTPTRIPHYDRO-RXN	EC-3.1.5.1
RXN-15046	EC-1.1.1.101
PPPGPPHYDRO-RXN	EC-3.6.1.40
CITRYLY-RXN	EC-4.1.3.34
RXN-37	EC-1.2.1.3
RXN-15178	EC-2.7.1.69
RXN-14882	
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
RXN-11758	EC-2.1.1.64
PRAISOM-RXN	EC-5.3.1.24
RIBULOKIN-RXN	EC-2.7.1.16
THIKIN-RXN	EC-2.7.1.89
PYRUVDEH-RXN	EC-1.2.1
1.2.1.2-RXN	EC-1.2.1.2
4.2.2.2-RXN	EC-4.2.2.2
RXN-15181	EC-2.7.1.69
1.2.1.65-RXN	EC-1.2.1.65
RXN-15167	EC-2.7.1.69
RXN-11662	EC-1.1.1.35
RXN-10911	EC-1.1.1.1
TRANS-RXN-155B	EC-2.7.1.69
DIMETHUROPORDEHYDROG-RXN	EC-1.3.1.76
GMP-REDUCT-RXN	EC-1.7.1.7
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
RXN-14515	
RXN-10026	EC-2.3.1.184
2.3.1.168-RXN	EC-2.3.1.168
ASPAMINOTRANS-RXN	EC-2.6.1.1
RXN0-2044	EC-1.1.1.35
RXN-10701	EC-2.3.1.16
RXN-14816	EC-5.1.3
RXN0-5062	EC-6.5.1
RXN-8991	
RXN-14325	
1.2.3.13-RXN	EC-1.2.3.13
DGDPKIN-RXN	EC-2.7.4.6
ENOYL-COA-HYDRAT-RXN	EC-4.2.1.17
RXN-8342	EC-2.8.1.12
RXN-11588	EC-2.1.1.185
ACONITATEDEHYDR-RXN	
1.1.1.255-RXN	EC-1.1.1.255
RXN-11361	EC-2.7.7.80
URPHOS-RXN	EC-2.4.2.2	EC-2.4.2.3
UREASE-RXN	EC-3.5.1.5
HISTALDEHYD-RXN	
RXN0-5120	EC-2.4.1
RXN-12521	EC-1.3.1.34
ACYLPHOSPHATASE-RXN	EC-3.6.1.7
2.7.7.13-RXN	EC-2.7.7.13
RXN-12361	EC-2.3.1
RXN-11746	EC-1.2.1.69
3.1.13.1-RXN	EC-3.1.13.1
RXN1G-287	EC-1.1.1.100
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC-3.1.3.7
N-ACETYLGLUCOSAMINE-KINASE-RXN	EC-2.7.1.59
RXN-15164	EC-2.7.1.69
RXN-15127	EC-3.5.99.10
2.7.11.24-RXN	EC-2.7.11.24
1.1.1.8-RXN	EC-1.1.1.8
RXN0-3182	EC-3.4.21
RXN-14815	EC-5.1.3
1.1.1.13-RXN	EC-1.1.1.13
RXN-8975	EC-2.7.8.13
IMIDPHOSDEHYD-RXN	EC-4.2.1.19
4.1.1.83-RXN	EC-4.1.1.83
RXN1G-364	EC-1.1.1.100
RIBOFLAVINSYNREDUC-RXN	EC-1.1.1.193
5.1.3.20-RXN	EC-5.1.3.20
RXN-9531	EC-2.3.1.41
1.17.4.2-RXN	EC-1.17.4.2
RXN-10657	EC-1.3.1.9
FGAMSYN-RXN	EC-6.3.5.3
DALADALALIG-RXN	EC-6.3.2.4
NICOTINAMID-RXN	EC-3.5.1.19
1.5.1.15-RXN	EC-1.5.1.15
NMNNUCLEOSID-RXN	EC-3.2.2.14
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	EC-2.3.1.37
RXN-14029	EC-2.4.2.1
RXN-15004	EC-3.5.1
RXN-13290	EC-6.2.1.3
RXN-14385	EC-2.8.1.7
RXN0-6369	EC-1.7.99.4
RXN-9528	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
RXN-15093	EC-2.7.1.69
RXN0-5408	EC-3.1.3.25
RXN-12448	EC-1.1.1.1
BETAGALACTOSID-RXN	EC-3.2.1.23
RXN-14354	EC-2.4.1.25
RXN-15158	EC-2.7.1.69
RXN-14812	
3-ISOPROPYLMALISOM-RXN	
ORNDECARBOX-RXN	EC-4.1.1.17
LAUROYLACYLTRAN-RXN	EC-2.3.1
VALINE-PYRUVATE-AMINOTRANSFER-RXN	EC-2.6.1.66
1.11.1.12-RXN	EC-1.11.1.12
RXN-7919	EC-3.1.2.6
RXN-14074	EC-2.7.4.6
ACONITATEHYDR-RXN	
AMONITRO-RXN	EC-1.14.99.39
SUCROSEPHOSPHO-RXN	EC-2.7.1.69
RXN0-1402	
PHOSPHORIBULOKINASE-RXN	EC-2.7.1.19
RXN1G-72	EC-1.1.1.100
DEOXYADENPHOSPHOR-RXN	EC-2.4.2.1
DMK-RXN	EC-2.5.1.74
TRYPTOPHAN-2-MONOOXYGENASE-RXN	EC-1.13.12.3
3.4.11.9-RXN	EC-3.4.11.9
RXN1G-1053	EC-1.1.1.100
RXN-6182	EC-5.3.1.9
GTP-CYCLOHYDRO-I-RXN	EC-3.5.4.16
MALATE--COA-LIGASE-RXN	EC-6.2.1.9
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
3.4.23.43-RXN	EC-3.4.23.43
FRUCTOKINASE-RXN	EC-2.7.1.4
RXN-14899	EC-3.1.1.5
RXN-14811	
RXN-14959	EC-2.8.1.8
RXN-11332	EC-1.1.2.7
RXN-7716	EC-1.8.1.4
SULFITE-OXIDASE-RXN	EC-1.8.3.1
SULFITE-REDUCT-RXN	EC-1.8.1.2
BIOTINLIG-RXN	EC-6.3.4.15
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
RXN0-5127	EC-2.4
1.6.4.4-RXN	EC-1.8.1.8
RXN-13054	EC-6.3.2.38
RXN-14124	EC-3.1.3.6
RXN-14665	EC-1.14.13
NAPHTHOATE-SYN-RXN	EC-4.1.3.36
PRODISULFREDUCT-A-RXN	EC-1.8.4
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
RXN-9520	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
SUCCARGDIHYDRO-RXN	EC-3.5.3.23
RXN-15166	EC-2.7.1.69
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.29
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	EC-3.2.1.86
RXN-14388	
GUANOSINEKIN-RXN	EC-2.7.1.73
RXN-12352	EC-1.10.3.11
RXN1G-132	EC-2.3.1.41
RXN0-5122	EC-2.4
RXN0-5190	EC-4.2.2
RXN0-2621	EC-3.1.25
ISOCIT-CLEAV-RXN	EC-4.1.3.1
RXN-14501	
